,Address,Name Tag,Balance,Txn Count,Label
0,0x3f5CE5FBFe3E9af3971dD833D26bA9b5C936f0bE,Binance,0.20403752 ETH,"17,017,385",binance
1,0x85b931A32a0725Be14285B66f1a22178c672d69B,Binance 10,0.07044718 ETH,"1,221,122",binance
2,0x708396f17127c42383E3b9014072679b2F60B82f,Binance 11,0.56399191 ETH,"1,239,495",binance
3,0xE0F0CfDe7Ee664943906f17F7f14342E76A5CeC7,Binance 12,0.02997637 ETH,"551,806",binance
4,0x8F22F2063D253846B53609231eD80FA571Bc0C8F,Binance 13,0.08512119 ETH,"545,213",binance
5,0x28C6c06298d514Db089934071355E5743bf21d60,Binance 14,"74,746.2802662 ETH","13,682,977",binance
6,0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,Binance 15,"30,529.44862392 ETH","6,628,872",binance
7,0xDFd5293D8e347dFe59E90eFd55b2956a1343963d,Binance 16,"31,430.30021801 ETH","6,289,307",binance
8,0x56Eddb7aa87536c09CCc2793473599fD21A8b17F,Binance 17,"67,097.71515945 ETH","4,970,568",binance
9,0x9696f59E4d72E237BE84fFD425DCaD154Bf96976,Binance 18,"29,601.47869201 ETH","4,628,600",binance
10,0x4D9fF50EF4dA947364BB9650892B2554e7BE5E2B,Binance 19,95.16515317 ETH,"1,800,552",binance
11,0xD551234Ae421e3BCBA99A0Da6d736074f22192FF,Binance 2,0.01668168 ETH,"4,976,495",binance
12,0x4976A4A02f38326660D17bf34b431dC6e2eb2327,Binance 20,"71,373.65204786 ETH","2,784,167",binance
13,0xd88B55467f58af508dBfDC597E8Ebd2Ad2De49b3,Binance 21,0.00781037 ETH,38,binance
14,0x7DFe9A368B6Cf0C0309b763bb8d16da326e8F46e,Binance 22,0.02075358 ETH,472,binance
15,0x345D8e3A1F62eE6B1D483890976fD66168e390F2,Binance 23,0.01318451 ETH,"31,351",binance
16,0xC3C8E0A39769e2308869f7461364ca48155D1d9E,Binance 24,0.00778611 ETH,"4,386",binance
17,0x2E581a5aE722207Aa59aCD3939771E7c7052DD3d,Binance 25,0.01450284 ETH,120,binance
18,0x44592b81c05b4c35Efb8424eB9D62538b949eBbF,Binance 26,0.02862319 ETH,141,binance
19,0xa344c7aDA83113B3B56941F6e85bf2Eb425949f3,Binance 27,0.10527616 ETH,18,binance
20,0x5a52E96BAcdaBb82fd05763E25335261B270Efcb,Binance 28,"159,999.10181981 ETH","1,073",binance
21,0x06a0048079ec6571Cd1b537418869CDE6191d42D,Binance 29,"37,913.56194792 ETH",6,binance
22,0x564286362092D8e7936f0549571a803B203aAceD,Binance 3,2.01946911 ETH,"4,864,447",binance
